"","Package","Version","version"
"611","babynames","1.0.0",100
"670","base64enc","0.1-3",13
"2170","corrr","0.4.0",40
"2554","datos","0.1.0",10
"2853","digest","0.6.20",620
"3669","evaluate","0.14",14
"4081","flexdashboard","0.5.1.1",511
"4275","fs","1.3.1",131
"4300","fueleconomy","0.1",1
"4434","gapminder","0.3.0",30
"4746","ggplot2","3.2.0",320
"5376","highr","0.8",8
"5492","htmltools","0.3.6",36
"6058","janitor","1.2.0",120
"6139","jsonlite","1.6",16
"6269","knitr","1.23",123
"6366","Lahman","7.0-1",701
"6476","leaflet","2.0.2",202
"6962","markdown","1.0",10
"7397","mime","0.7",7
"8063","nasaweather","0.1",1
"8445","nycflights13","1.0.0",100
"10371","Rcpp","1.0.1",101
"10991","rmarkdown","1.14",114
"11295","rprojroot","1.3-2",132
"12279","skimr","1.0.7",107
"12994","stringr","1.4.0",140
"13488","tidymodels","0.0.2",2
"13506","tidyverse","1.2.1",121
"14455","xaringan","0.11",11
"14529","yaml","2.2.0",220
