Fecha,Hora,Delito,Delitos_code,POINT_X,POINT_Y,Area Policiaca
2016-08-01,15:30:00,9,Otros,18.40117959,-65.95096584,Carolina
2016-08-01,13:20:00,9,Otros,18.17572634,-66.73600169,Utuado
2016-08-01,21:25:00,6,Apropiacion Ilegal,18.40519183,-66.00330376,San Juan
2016-08-01,02:35:00,9,Otros,NA,NA,Aguadilla
2016-08-01,08:00:00,9,Otros,NA,NA,Carolina
2016-08-01,18:18:00,6,Apropiacion Ilegal,18.36228907,-66.80552199,Arecibo
2016-08-01,22:30:00,5,Escalamiento,18.02994472,-66.60384212,Ponce
2016-08-01,13:30:00,6,Apropiacion Ilegal,18.31380069,-67.14855828,Mayaguez
2016-08-01,22:44:00,1,Asesinato,18.428134,-66.04706188,San Juan
2016-08-01,17:19:00,5,Escalamiento,18.38151803,-65.9849372,Carolina
2016-08-01,16:42:00,6,Apropiacion Ilegal,18.20982685,-66.04691907,Caguas
2016-08-01,14:23:00,9,Otros,18.40135208,-65.9183687,Carolina
2016-08-01,08:13:00,5,Escalamiento,18.20921881,-66.61792169,Utuado
2016-08-01,12:33:00,5,Escalamiento,18.22509453,-66.04471471,Caguas
2016-08-01,05:49:00,3,Robo,18.4501425,-66.07354075,San Juan
2016-08-01,10:31:00,5,Escalamiento,18.4000202,-66.04823115,San Juan
2016-08-01,09:00:00,5,Escalamiento,18.47289327,-66.94021128,Arecibo
2016-08-01,14:45:00,9,Otros,NA,NA,Carolina
2016-08-01,17:25:00,6,Apropiacion Ilegal,NA,NA,Humacao
2016-08-01,13:59:00,5,Escalamiento,18.38149411,-65.83234865,Fajardo
2016-08-01,13:20:00,6,Apropiacion Ilegal,18.17572634,-66.73600169,Utuado
2016-08-01,20:00:00,9,Otros,NA,NA,Carolina
2016-08-01,21:20:00,9,Otros,NA,NA,Aguadilla
2016-08-01,10:30:00,9,Otros,NA,NA,Carolina
2016-08-01,07:19:00,5,Escalamiento,NA,NA,Humacao
2016-08-01,21:58:00,9,Otros,NA,NA,Aguadilla
